headlines,text,date,author,read_more
"Raveena criticises person who called her 'MILF', Twitter user says she criticised Aditi","Criticising an unnamed person, Raveena Tandon tweeted, ""Even though you don't follow, you sure are interested. I remember you'd called me 'milf'."" A Twitter user speculated it is directed at comedian Aditi Mittal, who called Raveena a 'MILF' in 2011. On Wednesday, Aditi tweeted that one of Raveena's posts appeared on her timeline even though she doesn't follow her. ","23 Jan 2020,Thursday",Daisy Mowke,https://www.hindustantimes.com/bollywood/raveena-tandon-hits-back-at-person-for-trolling-her-calling-her-milf-is-it-directed-at-comedian-aditi-mittal/story-vEO4PZIuEhxcQ9I5T5xBNI.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"You married outside your religion, no one said a word: Swaraj's husband to Shah","Late External Affairs Minister Sushma Swaraj's husband Swaraj Kaushal defended Anupam Kher after Naseeruddin Shah called him a ""clown"". He wrote that as Kher's contemporary, he could confirm Kher ""is an honest"" man. Swaraj further questioned, ""You married outside your religion. No one ever said a word...Have you not been given more than an equal opportunity?"" and called Shah ""ungrateful"".","23 Jan 2020,Thursday",Daisy Mowke,https://www.thequint.com/entertainment/celebrities/swaraj-kaushal-tells-naseeruddin-shah-be-grateful-anupam-kher-comments?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"Mob snatched my phone, deleted apps: Woman mistaken of conducting CAA survey","A mob allegedly stopped a woman, Nazeeran Bano, from collecting data for the Economic Census and manhandled her in Rajasthan's Kota on Wednesday, police said. Bano was manhandled by people who alleged that the survey was for CAA. ""They snatched my phone and deleted mobile application containing data entry of about 1,000 households,"" Bano said.","23 Jan 2020,Thursday",Jigyasu,https://twitter.com/ANI/status/1220247737158914048?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
Will drag MP CM by collar if he addresses Cong rally in Delhi: SAD leader,"Shiromani Akali Dal leader Manjinder Singh Sirsa on Wednesday said, ""We challenge Congress party that...(Madhya Pradesh) CM Kamal Nath will not be allowed to address any public rally in any corner of Delhi."" ""We will drag him by his collar and bring him down,"" he added. This comes ahead of Assembly elections in the National Capital on February 8.","23 Jan 2020,Thursday",Arshiya Chopra,https://www.newindianexpress.com/cities/delhi/2020/jan/23/will-drag-kamal-nath-by-collar-if-he-addresses-congress-rally-in-delhi-manjinder-sirsa-2093446.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"Give Western UP quota in Jamia, JNU to stop anti-India slogans: Union Min","Union Minister Sanjeev Balyan on Wednesday said if people from Western UP are given 10% reservation in Delhi's JNU and Jamia Millia Islamia, then nobody will be able to make anti-national slogans. ""We'll fix them all alone, no one will be needed,"" Balyan added. Compared to JNU and Jamia, there're more students in Meerut College who support CAA, he said.","23 Jan 2020,Thursday",Jigyasu,https://www.newindianexpress.com/nation/2020/jan/23/only-one-cure-for-them-union-ministers-threat-to-fix-anti-national-jnu-jamia-students-2093437.html?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
"They are so nice, you can't even think of revenge: Kohli on New Zealand","On being asked if he was thinking about avenging the World Cup semi-final defeat against New Zealand, Virat Kohli said, ""Honestly...even if you want to think of revenge, these guys are so nice, you can't get into that zone."" ""We get along really well with all these guys and it's all about just being competitive on the field,"" he added.","23 Jan 2020,Thursday",Anmol Sharma,https://www.crictracker.com/these-guys-are-too-nice-to-think-of-a-revenge-virat-kohli-on-facing-new-zealand-after-world-cup-2019-defeat/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
Tragedy that players who can be better than Kohli are neglected in Pak: Razzaq,"Former Pakistan all-rounder Abdul Razzaq has said that Team India captain Virat Kohli is lucky as the BCCI supports him well and instils the confidence in him that any player needs to succeed. He added, ""I do believe that even in Pakistan we've players who could become better than Kohli, but they're neglected by our system which is a tragedy.""","23 Jan 2020,Thursday",Anmol Sharma,None
"I created 'sexual game' WhatsApp group, it was a terrible idea: England Lions' Tom","England Lions batsman Tom Kohler-Cadmore has revealed he was the one who created the 'sexual conquest game' WhatsApp group, which led to his teammate Alex Hepburn getting jailed for five years for raping a woman. ""I know it was a terrible idea but...it was just messages between me and some friends. Obviously it was in really bad taste,"" he added.","23 Jan 2020,Thursday",Anmol Sharma,https://www.theguardian.com/sport/2020/jan/22/tom-kohler-cadmore-england-lions-alex-hepburn-trial?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
Arguing with woman like reading License Agreement: Saudi prince told Bezos,"Saudi Crown Prince Mohammed Bin Salman sent an image on WhatsApp to Jeff Bezos before his divorce, according to an investigation. It showed a woman's picture and read, ""Arguing with a woman is like reading Software License Agreement. In the end you have to ignore everything and click I agree."" Bezos was in a secret relationship with Lauren Sanchez then.","23 Jan 2020,Thursday",Krishna Veera Vanamali,https://theprint.in/world/goodwill-tour-intimate-dinner-how-saudi-prince-mbs-allegedly-hacked-jeff-bezos-phone/353383/?utm_campaign=fullarticle&utm_medium=referral&utm_source=inshorts 
No role for any third party: India after Trump offers help on Kashmir,"Ministry of External Affairs spokesperson Raveesh Kumar said ""there's no role for any third party"" over the issue of Kashmir. ""If there are any bilateral issues between India and Pakistan, it should be discussed between the two under provisions of Simla Agreement and Lahore Declaration,"" he added. His statement comes after US President Donald Trump offered help on Kashmir issue.","23 Jan 2020,Thursday",Nandini Sinha,https://www.aninews.in/news/world/asia/no-scope-for-third-party-mediation-on-kashmir-issue-says-mea20200123161823/ 
